year,month,count
2018,1,1019501
2018,2,925961
2018,3,977097
2018,4,2054000
2018,5,2569072
2018,6,2506963
2018,7,2325158
2018,8,2436024
2018,9,2193789
2018,10,1892752
2018,11,1548563
2018,12,920495
2019,1,928503
2019,2,1146692
2019,3,1256394
2019,4,1879217
2019,5,1923133
2019,6,1871369
2019,7,1740448
2019,8,2077610
2019,9,1653510
2019,10,1412657
2019,11,1229000
2019,12,905698
2020,1,1076040
2020,2,923534
2020,3,1155164
2020,4,1617953
2020,5,1942435
2020,6,2343015
2020,7,2158825
2020,8,2398293
2020,9,2359884
2020,10,1828548
2020,11,1569573
2020,12,1111881
2021,1,814229
2021,2,737704
2021,3,1350188
2021,4,1432425
2021,5,1713238
2021,6,2277487
2021,7,1908656
2021,8,2282760
2021,9,2276931
2021,10,1819712
2021,11,1533532
2021,12,1005440
2022,1,974545
2022,2,960971
2022,3,1563940
2022,4,1415178
2022,5,2462091
2022,6,2388834
2022,7,2104348
2022,8,2236915
2022,9,2117821
2022,10,2049932
2022,11,1707613
2022,12,976177
2023,1,1563891
2023,2,1360548
2023,3,1714490
2023,4,1878409
2023,5,2911441
2023,6,3052459
2023,7,2761904
2023,8,2505895
2023,9,2915012
2023,10,2056493
2023,11,1755593
2023,12,1019791
